Name;Code;E;N;Z
STA 0+00;A;475629.3821;9699471.961;6.174
STA 0+00;A1;475629.2281;9699471.216;6.214
STA 0+00;A2;475629.4561;9699470.21;6.539
STA 0+00;A3;475629.3281;9699469.371;6.515
STA 0+00;A4;475629.2331;9699468.54;6.355
STA 0+00;T1;475629.5261;9699467.856;6.033
STA 0+00;D1;475629.8597;9699467.24;5.262
STA 0+00;D2;475630.3601;9699465.98;4.957
STA 0+00;D3;475630.8605;9699464.779;5.304
STA 0+00;T2;475631.1941;9699464.162;6.089
STA 0+00;B1;475631.3521;9699463.296;6.056
STA 0+00;B2;475631.2941;9699462.585;6.02
STA 0+00;B3;475631.4821;9699461.652;6.095
STA 0+00;B4;475631.3751;9699460.652;6.077
STA 0+00;B;475631.1991;9699459.724;6.123
STA 0+50;A;475679.2942;9699474.924;6.167
STA 0+50;A1;475679.1402;9699474.179;6.206
STA 0+50;A2;475679.3682;9699473.173;6.53
STA 0+50;A3;475679.2402;9699472.334;6.508
STA 0+50;A4;475679.1452;9699471.503;6.356
STA 0+50;T1;475679.4382;9699470.819;6.044
STA 0+50;D1;475679.7718;9699470.203;5.254
STA 0+50;D2;475680.2722;9699468.943;4.959
STA 0+50;D3;475680.7726;9699467.742;5.295
STA 0+50;T2;475681.1062;9699467.125;6.084
STA 0+50;B1;475681.2642;9699466.259;6.06
STA 0+50;B2;475681.2062;9699465.548;6.024
STA 0+50;B3;475681.3942;9699464.615;6.091
STA 0+50;B4;475681.2872;9699463.615;6.074
STA 0+50;B;475681.1112;9699462.687;6.117
STA 1+00;A;475729.1486;9699478.1;6.159
STA 1+00;A1;475729.0001;9699477.353;6.198
STA 1+00;A2;475729.2355;9699476.349;6.521
STA 1+00;A3;475729.1136;9699475.509;6.5
STA 1+00;A4;475729.0247;9699474.678;6.356
STA 1+00;T1;475729.3227;9699473.996;6.054
STA 1+00;D1;475729.6609;9699473.382;5.247
STA 1+00;D2;475730.1705;9699472.126;4.96
STA 1+00;D3;475730.6797;9699470.929;5.287
STA 1+00;T2;475731.0178;9699470.314;6.078
STA 1+00;B1;475731.1822;9699469.449;6.064
STA 1+00;B2;475731.1294;9699468.738;6.027
STA 1+00;B3;475731.3242;9699467.806;6.087
STA 1+00;B4;475731.2246;9699466.806;6.072
STA 1+00;B;475731.0554;9699465.876;6.111
STA 1+50;A;475779.0376;9699481.429;6.152
STA 1+50;A1;475778.8891;9699480.683;6.189
STA 1+50;A2;475779.1245;9699479.679;6.511
STA 1+50;A3;475779.0026;9699478.839;6.493
STA 1+50;A4;475778.9137;9699478.007;6.357
STA 1+50;T1;475779.2118;9699477.325;6.065
STA 1+50;D1;475779.5499;9699476.712;5.239
STA 1+50;D2;475780.0595;9699475.456;4.962
STA 1+50;D3;475780.5687;9699474.258;5.278
STA 1+50;T2;475780.9068;9699473.644;6.073
STA 1+50;B1;475781.0712;9699472.779;6.068
STA 1+50;B2;475781.0184;9699472.067;6.031
STA 1+50;B3;475781.2132;9699471.136;6.083
STA 1+50;B4;475781.1136;9699470.135;6.069
STA 1+50;B;475780.9444;9699469.206;6.105
STA 2+00;A;475828.9266;9699484.759;6.145
