Name;Code;E;N;Z
STA 0+50;A;475679.2942;9699474.924;6.167
STA 0+50;A1;475679.1402;9699474.179;6.206
STA 0+50;A2;475679.3682;9699473.173;6.53
STA 0+50;A3;475679.2402;9699472.334;6.508
STA 0+50;A4;475679.1452;9699471.503;6.356
STA 0+50;T1;475679.4382;9699470.819;6.044
STA 0+50;D1;475679.7718;9699470.203;5.254
STA 0+50;D2;475680.2722;9699468.943;4.959
STA 0+50;D3;475680.7726;9699467.742;5.295
STA 0+50;T2;475681.1062;9699467.125;6.084
STA 0+50;B1;475681.2642;9699466.259;6.06
STA 0+50;B2;475681.2062;9699465.548;6.024
STA 0+50;B3;475681.3942;9699464.615;6.091
STA 0+50;B4;475681.2872;9699463.615;6.074
STA 0+50;B;475681.1112;9699462.687;6.117
