sta;x;z
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;6.1
STA 0+00;4.910462786999999;4.199999999999999
STA 0+00;7.1104627869999995;4.199999999999999
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;6.1
STA 0+00;3.9604627869999995;-0.9000000000000004
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;6.1
STA 0+00;3.9604627869999995;-0.9000000000000004
STA 0+00;1.4104627869999997;11.2
STA 0+00;4.910462786999999;4.199999999999999
STA 0+00;7.1104627869999995;4.199999999999999
STA 0+00;10.610462787;11.2
STA 0+00;8.060462787;-0.9000000000000004
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;6.1
STA 0+00;8.060462787;-0.9000000000000004
